img_path,img_gt_class_labels,img_gt_bbox_coords
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_001241.jpg,[3],"[[179.0, 76.0, 196.0, 257.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_000145.jpg,[16],"[[112.0, 84.0, 139.0, 386.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_008025.jpg,"[0, 0, 15]","[[41.0, 59.0, 255.0, 97.0], [302.0, 112.0, 134.0, 52.0], [14.0, 99.0, 32.0, 13.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2009_003544.jpg,[9],"[[78.0, 130.0, 180.0, 310.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_006695.jpg,[3],"[[175.0, 94.0, 118.0, 274.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2009_003520.jpg,"[10, 9, 9, 9, 9, 9]","[[179.0, 177.0, 185.0, 156.0], [153.0, 172.0, 94.0, 154.0], [205.0, 160.0, 44.0, 19.0], [282.0, 164.0, 31.0, 26.0], [281.0, 170.0, 63.0, 134.0], [370.0, 172.0, 81.0, 104.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_007327.jpg,[2],"[[116.0, 1.0, 249.0, 465.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_007226.jpg,[16],"[[47.0, 180.0, 284.0, 313.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_007042.jpg,[3],"[[192.0, 118.0, 246.0, 247.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_007701.jpg,"[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 3, 16, 16]","[[129.0, 247.0, 49.0, 97.0], [179.0, 279.0, 34.0, 50.0], [211.0, 304.0, 33.0, 41.0], [244.0, 296.0, 37.0, 39.0], [325.0, 229.0, 26.0, 25.0], [302.0, 190.0, 31.0, 50.0], [280.0, 285.0, 32.0, 47.0], [312.0, 304.0, 30.0, 39.0], [337.0, 297.0, 35.0, 44.0], [25.0, 200.0, 28.0, 42.0], [57.0, 243.0, 75.0, 218.0], [275.0, 250.0, 44.0, 35.0], [1.0, 316.0, 32.0, 116.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2009_004150.jpg,"[2, 6]","[[223.0, 182.0, 277.0, 193.0], [1.0, 1.0, 327.0, 186.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_006471.jpg,[3],"[[1.0, 76.0, 434.0, 269.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_006730.jpg,[3],"[[1.0, 62.0, 312.0, 438.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_000772.jpg,"[6, 3, 3]","[[176.0, 21.0, 185.0, 354.0], [18.0, 58.0, 390.0, 317.0], [312.0, 1.0, 188.0, 374.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2009_001709.jpg,[3],"[[183.0, 182.0, 165.0, 193.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2009_000741.jpg,"[15, 15, 3]","[[413.0, 56.0, 87.0, 77.0], [6.0, 38.0, 494.0, 337.0], [127.0, 91.0, 102.0, 73.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_000854.jpg,"[3, 17]","[[107.0, 8.0, 55.0, 134.0], [76.0, 56.0, 106.0, 87.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_001480.jpg,[0],"[[13.0, 75.0, 446.0, 182.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_000950.jpg,"[3, 2]","[[69.0, 27.0, 431.0, 348.0], [17.0, 63.0, 396.0, 269.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2012_001162.jpg,[3],"[[153.0, 26.0, 173.0, 306.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_001134.jpg,"[11, 11, 11, 11, 11, 11]","[[240.0, 70.0, 220.0, 349.0], [336.0, 208.0, 111.0, 130.0], [175.0, 141.0, 188.0, 355.0], [17.0, 39.0, 128.0, 366.0], [401.0, 74.0, 76.0, 150.0], [71.0, 170.0, 101.0, 120.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_006138.jpg,[3],"[[82.0, 92.0, 101.0, 316.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2007_002370.jpg,"[3, 3, 15, 15]","[[454.0, 190.0, 11.0, 20.0], [461.0, 189.0, 13.0, 20.0], [395.0, 189.0, 37.0, 19.0], [355.0, 174.0, 36.0, 39.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_006576.jpg,[3],"[[72.0, 22.0, 428.0, 353.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_006606.jpg,[3],"[[120.0, 125.0, 210.0, 216.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_005115.jpg,[11],"[[20.0, 32.0, 289.0, 457.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2009_004754.jpg,[11],"[[35.0, 77.0, 289.0, 398.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2012_003616.jpg,"[3, 3]","[[234.0, 11.0, 183.0, 239.0], [91.0, 73.0, 146.0, 302.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2012_001836.jpg,[3],"[[206.0, 101.0, 76.0, 126.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2009_000199.jpg,[19],"[[103.0, 117.0, 351.0, 167.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_005976.jpg,"[5, 5]","[[226.0, 214.0, 59.0, 46.0], [213.0, 217.0, 52.0, 41.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2012_002727.jpg,[3],"[[248.0, 298.0, 34.0, 70.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2012_003607.jpg,[3],"[[55.0, 6.0, 253.0, 489.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_002458.jpg,"[3, 3]","[[112.0, 146.0, 301.0, 264.0], [213.0, 177.0, 190.0, 266.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_002615.jpg,[5],"[[83.0, 116.0, 161.0, 306.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_002759.jpg,[6],"[[33.0, 108.0, 436.0, 152.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2012_001716.jpg,"[3, 3, 3, 3, 3, 3]","[[307.0, 70.0, 85.0, 244.0], [83.0, 91.0, 151.0, 284.0], [163.0, 64.0, 106.0, 238.0], [12.0, 92.0, 56.0, 133.0], [266.0, 78.0, 57.0, 155.0], [473.0, 98.0, 27.0, 170.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_006873.jpg,[3],"[[56.0, 101.0, 299.0, 232.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_003604.jpg,[3],"[[33.0, 143.0, 25.0, 57.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_002618.jpg,[18],"[[266.0, 186.0, 69.0, 18.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2009_003668.jpg,"[3, 9]","[[67.0, 31.0, 213.0, 451.0], [68.0, 149.0, 246.0, 341.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_001136.jpg,"[18, 18, 18]","[[72.0, 140.0, 103.0, 85.0], [209.0, 139.0, 114.0, 84.0], [321.0, 133.0, 131.0, 91.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_004441.jpg,"[1, 3]","[[84.0, 150.0, 32.0, 113.0], [195.0, 7.0, 247.0, 368.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2012_002140.jpg,[3],"[[18.0, 32.0, 357.0, 468.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_000858.jpg,"[17, 17]","[[12.0, 51.0, 370.0, 277.0], [284.0, 16.0, 169.0, 195.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2012_003084.jpg,"[3, 3]","[[59.0, 4.0, 255.0, 329.0], [357.0, 105.0, 143.0, 228.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_005780.jpg,"[3, 3]","[[252.0, 140.0, 156.0, 235.0], [178.0, 128.0, 45.0, 88.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_005303.jpg,[11],"[[154.0, 39.0, 331.0, 306.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_004656.jpg,[6],"[[1.0, 1.0, 488.0, 489.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_001137.jpg,[6],"[[105.0, 75.0, 166.0, 312.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_007045.jpg,[6],"[[1.0, 37.0, 499.0, 296.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_001647.jpg,[2],"[[10.0, 62.0, 490.0, 227.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2012_002025.jpg,[3],"[[1.0, 1.0, 363.0, 499.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_005329.jpg,"[14, 9]","[[162.0, 101.0, 80.0, 100.0], [291.0, 228.0, 209.0, 147.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2009_000839.jpg,[6],"[[1.0, 34.0, 332.0, 466.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2009_000011.jpg,"[13, 13]","[[139.0, 167.0, 289.0, 124.0], [444.0, 209.0, 25.0, 32.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2009_001670.jpg,"[10, 9, 9, 9, 9, 16]","[[17.0, 105.0, 441.0, 270.0], [322.0, 32.0, 104.0, 96.0], [58.0, 38.0, 97.0, 115.0], [361.0, 121.0, 139.0, 254.0], [1.0, 229.0, 139.0, 146.0], [26.0, 43.0, 46.0, 59.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_002317.jpg,"[3, 3, 3]","[[275.0, 30.0, 163.0, 345.0], [187.0, 89.0, 107.0, 286.0], [20.0, 49.0, 178.0, 326.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_004543.jpg,[9],"[[338.0, 123.0, 40.0, 95.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_002699.jpg,[2],"[[13.0, 3.0, 487.0, 260.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_006164.jpg,[3],"[[108.0, 57.0, 130.0, 395.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2012_001398.jpg,[3],"[[204.0, 8.0, 125.0, 293.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_000216.jpg,[6],"[[59.0, 71.0, 207.0, 103.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2009_003879.jpg,"[15, 6]","[[1.0, 1.0, 161.0, 59.0], [195.0, 122.0, 254.0, 211.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_000165.jpg,[19],"[[28.0, 179.0, 228.0, 104.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_006568.jpg,[6],"[[21.0, 13.0, 198.0, 486.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_004551.jpg,[11],"[[214.0, 111.0, 49.0, 153.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_000227.jpg,"[2, 9, 10]","[[120.0, 152.0, 304.0, 194.0], [194.0, 1.0, 190.0, 120.0], [1.0, 90.0, 467.0, 285.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_000250.jpg,[13],"[[1.0, 196.0, 319.0, 53.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_001948.jpg,[15],"[[44.0, 7.0, 451.0, 349.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_003640.jpg,[18],"[[14.0, 49.0, 318.0, 424.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_005665.jpg,[6],"[[1.0, 72.0, 376.0, 428.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_006117.jpg,[3],"[[264.0, 46.0, 125.0, 314.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_005156.jpg,"[18, 3, 3, 3, 3, 3]","[[1.0, 186.0, 499.0, 38.0], [60.0, 166.0, 47.0, 41.0], [158.0, 129.0, 67.0, 76.0], [262.0, 153.0, 46.0, 52.0], [346.0, 154.0, 48.0, 49.0], [419.0, 152.0, 61.0, 52.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_006143.jpg,[11],"[[213.0, 156.0, 50.0, 69.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2012_001825.jpg,[3],"[[98.0, 1.0, 386.0, 374.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_005677.jpg,"[3, 3, 3, 3, 3, 3, 1, 1, 1, 3]","[[252.0, 167.0, 148.0, 97.0], [295.0, 67.0, 105.0, 129.0], [226.0, 66.0, 108.0, 120.0], [1.0, 134.0, 138.0, 130.0], [1.0, 84.0, 83.0, 147.0], [82.0, 38.0, 129.0, 107.0], [229.0, 100.0, 13.0, 45.0], [220.0, 105.0, 15.0, 47.0], [207.0, 89.0, 15.0, 63.0], [125.0, 105.0, 115.0, 159.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_002011.jpg,[3],"[[1.0, 1.0, 427.0, 359.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2009_003829.jpg,"[3, 3]","[[47.0, 122.0, 176.0, 212.0], [255.0, 106.0, 101.0, 187.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_000032.jpg,"[19, 3]","[[6.0, 118.0, 483.0, 156.0], [336.0, 173.0, 28.0, 51.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_003540.jpg,[3],"[[217.0, 173.0, 221.0, 202.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_002883.jpg,[4],"[[8.0, 26.0, 488.0, 308.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_000306.jpg,[2],"[[57.0, 65.0, 318.0, 319.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_005187.jpg,"[16, 16, 16, 16]","[[377.0, 87.0, 103.0, 116.0], [260.0, 99.0, 109.0, 106.0], [136.0, 94.0, 109.0, 114.0], [18.0, 96.0, 107.0, 113.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_000531.jpg,"[4, 3, 15]","[[99.0, 183.0, 104.0, 80.0], [106.0, 130.0, 85.0, 127.0], [247.0, 156.0, 219.0, 83.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_002123.jpg,"[17, 17, 17, 17, 3, 3, 3, 3, 3, 3]","[[452.0, 101.0, 48.0, 122.0], [373.0, 106.0, 51.0, 120.0], [232.0, 149.0, 149.0, 150.0], [1.0, 139.0, 147.0, 210.0], [41.0, 78.0, 65.0, 79.0], [147.0, 73.0, 99.0, 253.0], [141.0, 80.0, 71.0, 209.0], [218.0, 89.0, 36.0, 88.0], [297.0, 74.0, 68.0, 235.0], [398.0, 59.0, 66.0, 233.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_006020.jpg,[6],"[[1.0, 28.0, 421.0, 299.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_005285.jpg,[12],"[[38.0, 73.0, 280.0, 313.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2009_001673.jpg,"[8, 8, 8, 8, 8]","[[23.0, 84.0, 125.0, 179.0], [381.0, 100.0, 108.0, 137.0], [315.0, 94.0, 123.0, 157.0], [181.0, 96.0, 138.0, 181.0], [127.0, 94.0, 118.0, 175.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_000403.jpg,"[3, 5]","[[180.0, 183.0, 48.0, 82.0], [178.0, 211.0, 56.0, 84.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2009_001263.jpg,"[12, 12, 12, 12, 12, 12, 12, 12, 12]","[[357.0, 234.0, 83.0, 57.0], [409.0, 262.0, 91.0, 113.0], [150.0, 271.0, 140.0, 104.0], [28.0, 206.0, 80.0, 53.0], [1.0, 281.0, 154.0, 94.0], [1.0, 249.0, 69.0, 47.0], [444.0, 233.0, 56.0, 44.0], [190.0, 216.0, 61.0, 65.0], [1.0, 220.0, 47.0, 37.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_001961.jpg,"[18, 15, 3]","[[5.0, 247.0, 486.0, 128.0], [96.0, 35.0, 80.0, 43.0], [129.0, 36.0, 241.0, 339.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_006546.jpg,[3],"[[144.0, 70.0, 218.0, 176.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_002183.jpg,"[5, 3, 3, 3]","[[140.0, 168.0, 225.0, 170.0], [8.0, 136.0, 89.0, 117.0], [450.0, 207.0, 23.0, 54.0], [478.0, 204.0, 22.0, 60.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_003800.jpg,"[2, 3]","[[213.0, 123.0, 287.0, 218.0], [1.0, 1.0, 164.0, 374.0]]"
